Phenotype description	Gene Start (bp)	Gene End (bp)	Associated Gene Name	Description	Ensembl Gene ID
abnormal photoreceptor connecting cilium morphology	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
retinal outer nuclear layer degeneration	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
thin retinal outer nuclear layer	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
abnormal microglial cell activation	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
photoreceptor outer segment degeneration	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
abnormal photoreceptor inner segment morphology	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
abnormal retinal outer nuclear layer morphology	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
retinal degeneration	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
abnormal cone electrophysiology	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
short photoreceptor outer segment	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
retinal gliosis	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
decreased a wave amplitude	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
decreased b wave amplitude	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
abnormal retinal pigmentation	71743557	71752885	BC027072	cDNA sequence BC027072 [Source:MGI Symbol;Acc:MGI:2385061]	ENSMUSG00000044375
	71496100	71526857	Ndc80	NDC80 kinetochore complex component [Source:MGI Symbol;Acc:MGI:1914302]	ENSMUSG00000024056
	71673261	71729669	Fam179a	family with sequence similarity 179, member A [Source:MGI Symbol;Acc:MGI:2443498]	ENSMUSG00000045761
	71716849	71717817	Gm15641	predicted gene 15641 [Source:MGI Symbol;Acc:MGI:3783085]	ENSMUSG00000089779
	71458327	71460395	Gm4707	predicted gene 4707 [Source:MGI Symbol;Acc:MGI:3782887]	ENSMUSG00000091831
	71366052	71368836	Gm37639	predicted gene, 37639 [Source:MGI Symbol;Acc:MGI:5610867]	ENSMUSG00000102863
dosage compensation by inactivation of X chromosome	71344489	71475343	Smchd1	SMC hinge domain containing 1 [Source:MGI Symbol;Acc:MGI:1921605]	ENSMUSG00000024054
inactivation of X chromosome by DNA methylation	71344489	71475343	Smchd1	SMC hinge domain containing 1 [Source:MGI Symbol;Acc:MGI:1921605]	ENSMUSG00000024054
embryonic lethality during organogenesis incomplete penetrance	71344489	71475343	Smchd1	SMC hinge domain containing 1 [Source:MGI Symbol;Acc:MGI:1921605]	ENSMUSG00000024054
abnormal DNA methylation	71344489	71475343	Smchd1	SMC hinge domain containing 1 [Source:MGI Symbol;Acc:MGI:1921605]	ENSMUSG00000024054
abnormal maternal decidual layer morphology	71344489	71475343	Smchd1	SMC hinge domain containing 1 [Source:MGI Symbol;Acc:MGI:1921605]	ENSMUSG00000024054
abnormal trophoblast layer morphology	71344489	71475343	Smchd1	SMC hinge domain containing 1 [Source:MGI Symbol;Acc:MGI:1921605]	ENSMUSG00000024054
abnormal trophoblast giant cell morphology	71344489	71475343	Smchd1	SMC hinge domain containing 1 [Source:MGI Symbol;Acc:MGI:1921605]	ENSMUSG00000024054
abnormal imprinting	71344489	71475343	Smchd1	SMC hinge domain containing 1 [Source:MGI Symbol;Acc:MGI:1921605]	ENSMUSG00000024054
	71391838	71393284	Gm38220	predicted gene, 38220 [Source:MGI Symbol;Acc:MGI:5611448]	ENSMUSG00000103558
	71557027	71598755	Trmt61b	tRNA methyltransferase 61B [Source:MGI Symbol;Acc:MGI:1916039]	ENSMUSG00000085492
	71526896	71556543	Mettl4-ps1	methyltransferase like 4, pseudogene 1 [Source:MGI Symbol;Acc:MGI:3779337]	ENSMUSG00000079356
	71552061	71589533	Spdya	speedy/RINGO cell cycle regulator family, member A [Source:MGI Symbol;Acc:MGI:1918141]	ENSMUSG00000052525
decreased lean body mass	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
decreased fasted circulating glucose level	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
anemia	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
abnormal erythrocyte morphology	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
impaired balance	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
increased red blood cell distribution width	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
increased liver triglyceride level	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
abnormal cerebellar Purkinje cell layer	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
decreased eosinophil cell number	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
thrombocytosis	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
increased mean platelet volume	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
decreased total body fat amount	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
tremors	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
decreased circulating free fatty acid level	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
ataxia	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
abnormal enzyme/coenzyme activity	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
decreased hemoglobin content	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
abnormal cerebellum morphology	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
decreased circulating triglyceride level	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
decreased eosinophil cell number	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
decreased eosinophil cell number	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
increased mean platelet volume	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
increased mean platelet volume	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
decreased lean body mass	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
decreased lean body mass	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
hydrometra	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
enlarged lymph nodes	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
decreased total body fat amount	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
decreased total body fat amount	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
thrombocytosis	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
thrombocytosis	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
increased red blood cell distribution width	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
increased red blood cell distribution width	71182560	71249817	Lpin2	lipin 2 [Source:MGI Symbol;Acc:MGI:1891341]	ENSMUSG00000024052
