ENSMUSG00000089409	predicted gene, 24884 [Source:MGI Symbol;Acc:MGI:5454661]			Gm24884
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	decreased thermal nociceptive threshold	C57BL/6N	Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	decreased lactate dehydrogenase level	C57BL/6N	Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	enlarged sebaceous gland		Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	eyelids fail to open		Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	abnormal iris morphology		Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	decreased NK cell number		Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	decreased hemoglobin content		Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	abnormal behavior		Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	decreased mean corpuscular hemoglobin		Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	abnormal respiratory quotient		Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	other aberrant phenotype		Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	abnormal pupil morphology		Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	abnormal placement of pupils		Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	decreased hematocrit		Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	abnormal blastocyst formation		Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	histone H3-K9 demethylation		Kdm4c
ENSMUSG00000028397	lysine (K)-specific demethylase 4C [Source:MGI Symbol;Acc:MGI:1924054]	negative regulation of gene expression epigenetic		Kdm4c
ENSMUSG00000085482	RIKEN cDNA A230083N12 gene [Source:MGI Symbol;Acc:MGI:3698879]			A230083N12Rik
ENSMUSG00000082969	predicted gene 12630 [Source:MGI Symbol;Acc:MGI:3650968]			Gm12630
ENSMUSG00000038024	DENN/MADD domain containing 4C [Source:MGI Symbol;Acc:MGI:1914769]	preweaning lethality complete penetrance	C57BL/6N	Dennd4c
ENSMUSG00000038024	DENN/MADD domain containing 4C [Source:MGI Symbol;Acc:MGI:1914769]	preweaning lethality complete penetrance	C57BL/6N	Dennd4c
ENSMUSG00000038024	DENN/MADD domain containing 4C [Source:MGI Symbol;Acc:MGI:1914769]	prenatal lethality prior to heart atrial septation	C57BL/6N	Dennd4c
ENSMUSG00000038024	DENN/MADD domain containing 4C [Source:MGI Symbol;Acc:MGI:1914769]	decreased effector memory CD8-positive alpha-beta T cell number	C57BL/6N	Dennd4c
ENSMUSG00000038024	DENN/MADD domain containing 4C [Source:MGI Symbol;Acc:MGI:1914769]	decreased effector memory CD8-positive alpha-beta T cell number	C57BL/6N	Dennd4c
ENSMUSG00000038024	DENN/MADD domain containing 4C [Source:MGI Symbol;Acc:MGI:1914769]	preweaning lethality complete penetrance		Dennd4c
ENSMUSG00000038024	DENN/MADD domain containing 4C [Source:MGI Symbol;Acc:MGI:1914769]	cellular response to insulin stimulus		Dennd4c
ENSMUSG00000038024	DENN/MADD domain containing 4C [Source:MGI Symbol;Acc:MGI:1914769]	establishment of protein localization to plasma membrane		Dennd4c
ENSMUSG00000081438	predicted gene 11254 [Source:MGI Symbol;Acc:MGI:3649979]			Gm11254
ENSMUSG00000083659	predicted gene 11258 [Source:MGI Symbol;Acc:MGI:3649983]			Gm11258
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	decreased circulating insulin level		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	abnormal pancreatic beta cell morphology		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	abnormal cell cycle		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	abnormal pancreatic islet morphology		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	abnormal cell morphology		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	increased insulin sensitivity		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	abnormal cell physiology		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	decreased insulin secretion		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	abnormal hepatocyte morphology		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	impaired glucose tolerance		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	G1/S transition of mitotic cell cycle		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	T cell differentiation in thymus		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	T cell proliferation involved in immune response		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	decreased activation-induced cell death of T cells		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	enucleate erythrocyte development		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	cell migration involved in gastrulation		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	mitotic cell cycle checkpoint		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	mitotic nuclear division		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	negative regulation of apoptotic process		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	oogenesis stage		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	abnormal placenta development		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	rRNA processing		Rps6
ENSMUSG00000028495	ribosomal protein S6 [Source:MGI Symbol;Acc:MGI:98159]	ribosomal small subunit biogenesis		Rps6
ENSMUSG00000082533	predicted gene 11253 [Source:MGI Symbol;Acc:MGI:3649981]			Gm11253
ENSMUSG00000084311	predicted gene 11257 [Source:MGI Symbol;Acc:MGI:3649985]			Gm11257
ENSMUSG00000081067	predicted gene 12912 [Source:MGI Symbol;Acc:MGI:3649320]			Gm12912
ENSMUSG00000028398	transmembrane protein 261 [Source:MGI Symbol;Acc:MGI:1914178]			Tmem261
ENSMUSG00000038007	alkaline ceramidase 2 [Source:MGI Symbol;Acc:MGI:1920932]			Acer2
ENSMUSG00000083224	predicted gene 11255 [Source:MGI Symbol;Acc:MGI:3649873]			Gm11255
ENSMUSG00000084026	predicted gene 11259 [Source:MGI Symbol;Acc:MGI:3649975]			Gm11259
ENSMUSG00000084253	predicted gene 11256 [Source:MGI Symbol;Acc:MGI:3650655]			Gm11256
ENSMUSG00000081844	predicted gene 11241 [Source:MGI Symbol;Acc:MGI:3652121]			Gm11241
ENSMUSG00000037996	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	abnormal motor learning		Slc24a2
ENSMUSG00000037996	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	abnormal long term depression		Slc24a2
ENSMUSG00000037996	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	reduced long term potentiation		Slc24a2
ENSMUSG00000037996	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	abnormal spatial learning		Slc24a2
ENSMUSG00000037996	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	abnormal calcium ion homeostasis		Slc24a2
ENSMUSG00000037996	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	cellular calcium ion homeostasis		Slc24a2
ENSMUSG00000037996	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	impaired spatial learning		Slc24a2
ENSMUSG00000037996	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	long term synaptic depression		Slc24a2
ENSMUSG00000037996	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	long-term synaptic potentiation		Slc24a2
ENSMUSG00000037996	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 [Source:MGI Symbol;Acc:MGI:1923626]	fast extinction of fear memory		Slc24a2
ENSMUSG00000086512	predicted gene 12600 [Source:MGI Symbol;Acc:MGI:3651471]			Gm12600
ENSMUSG00000082443	predicted gene 12604 [Source:MGI Symbol;Acc:MGI:3651368]			Gm12604
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	increased circulating alanine transaminase level	C57BL/6NTac	Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	increased circulating alanine transaminase level	C57BL/6NTac	Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	preweaning lethality complete penetrance	C57BL/6NTac	Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	preweaning lethality complete penetrance	C57BL/6NTac	Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	hyperactivity	C57BL/6NTac	Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	hyperactivity	C57BL/6NTac	Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	postnatal lethality complete penetrance		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	perinatal lethality incomplete penetrance		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	preweaning lethality complete penetrance		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	decreased rib number		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	thoracic vertebral transformation		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	abnormal sternum ossification		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	abnormal cervical vertebrae morphology		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	vertebral transformation		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	abnormal vertebral column morphology		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	abnormal developmental patterning		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	decreased body size		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	asymmetric rib-sternum attachment		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	abnormal cervical rib		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	decreased thoracic vertebrae number		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	abnormal thoracic vertebrae morphology		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	abnormal cervical atlas morphology		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	cervical vertebral transformation		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	abnormal sternum morphology		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	abnormal cervical axis morphology		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	neonatal lethality incomplete penetrance		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	cervical vertebral fusion		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	abnormal spine curvature		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	anterior/posterior pattern specification		Mllt3
ENSMUSG00000028496	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 3 [Source:MGI Symbol;Acc:MGI:1917372]	segment specification		Mllt3
ENSMUSG00000084809	predicted gene 12631 [Source:MGI Symbol;Acc:MGI:3650969]			Gm12631
ENSMUSG00000081656	predicted gene 11246 [Source:MGI Symbol;Acc:MGI:3651881]			Gm11246
ENSMUSG00000110373				RP24-316B1.1
ENSMUSG00000081936	predicted gene 11244 [Source:MGI Symbol;Acc:MGI:3651883]			Gm11244
ENSMUSG00000028399	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	enhanced long term potentiation		Ptprd
ENSMUSG00000028399	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	abnormal spatial learning		Ptprd
ENSMUSG00000028399	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	impaired swimming		Ptprd
ENSMUSG00000028399	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	enhanced paired-pulse facilitation		Ptprd
ENSMUSG00000028399	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	premature death		Ptprd
ENSMUSG00000028399	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	abnormal eating behavior		Ptprd
ENSMUSG00000028399	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	decreased body weight		Ptprd
ENSMUSG00000028399	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	negative regulation of JAK-STAT cascade		Ptprd
ENSMUSG00000028399	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	positive regulation of dendrite morphogenesis		Ptprd
ENSMUSG00000028399	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	presynaptic membrane assembly		Ptprd
ENSMUSG00000028399	protein tyrosine phosphatase, receptor type, D [Source:MGI Symbol;Acc:MGI:97812]	positive regulation of immune response		Ptprd
ENSMUSG00000092492	RIKEN cDNA B230208B08 gene [Source:MGI Symbol;Acc:MGI:2442149]			B230208B08Rik
ENSMUSG00000081890	predicted gene 11243 [Source:MGI Symbol;Acc:MGI:3652116]			Gm11243
ENSMUSG00000080780	predicted gene 11252 [Source:MGI Symbol;Acc:MGI:3651309]			Gm11252
ENSMUSG00000084090	predicted gene 11245 [Source:MGI Symbol;Acc:MGI:3651884]			Gm11245
ENSMUSG00000083050	predicted gene 11242 [Source:MGI Symbol;Acc:MGI:3652117]			Gm11242
ENSMUSG00000028402	multiple PDZ domain protein [Source:MGI Symbol;Acc:MGI:1343489]			Mpdz
ENSMUSG00000081391	predicted gene 11765 [Source:MGI Symbol;Acc:MGI:3651002]			Gm11765
ENSMUSG00000083385	predicted gene 11411 [Source:MGI Symbol;Acc:MGI:3650904]			Gm11411
ENSMUSG00000087540	predicted gene 11412 [Source:MGI Symbol;Acc:MGI:3650905]			Gm11412
ENSMUSG00000087608	predicted gene 12914 [Source:MGI Symbol;Acc:MGI:3650483]			Gm12914
ENSMUSG00000087110	predicted gene 11264 [Source:MGI Symbol;Acc:MGI:3649480]			Gm11264
ENSMUSG00000085022	predicted gene 5860 [Source:MGI Symbol;Acc:MGI:3646172]			Gm5860
ENSMUSG00000087413	predicted gene 11266 [Source:MGI Symbol;Acc:MGI:3649705]			Gm11266
ENSMUSG00000084851	predicted gene 11267 [Source:MGI Symbol;Acc:MGI:3649847]			Gm11267
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	increased wet-to-dry lung weight ratio		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	abnormal lung morphology		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	impaired branching involved in terminal bronchiole morphogenesis		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	respiratory distress		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	atelectasis		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	abnormal lung development		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	pulmonary hypoplasia		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	failure of eyelid fusion		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	cyanosis		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	abnormal respiration		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	eyelids open at birth		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	abnormal respiratory system physiology		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	absent cerebellar foliation		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	abnormal hippocampal fimbria morphology		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	absent lung saccules		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	abnormal major salivary gland morphology		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	decreased fetal size		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	absent dentate gyrus		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	abnormal cerebellar granule cell morphology		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	abnormal glial cell morphology		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	abnormal hippocampus development		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	decreased submandibular gland size		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	submandibular gland hypoplasia		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	enlarged brain ventricles		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	abnormal pons morphology		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	abnormal hippocampus CA3 region morphology		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	absent corpus callosum		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	absent hippocampus CA3 region		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	neonatal lethality complete penetrance		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	respiratory failure		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	abnormal pulmonary alveolus epithelial cell morphology		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	abnormal craniofacial development		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	abnormal submandibular gland development		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	Clara cell differentiation		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	Type I pneumocyte differentiation		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	Type II pneumocyte differentiation		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	anterior commissure morphogenesis		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	cell differentiation involved in salivary gland development		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	chondrocyte differentiation		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	commissural neuron axon guidance		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	abnormal forebrain development		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	forebrain radial glial cell differentiation		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	abnormal hindbrain development		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	lung ciliated cell differentiation		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	decreased mesenchymal cell proliferation involved in lung development		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	negative regulation of cell proliferation		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	negative regulation of epithelial cell proliferation involved in lung morphogenesis		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	negative regulation of mesenchymal cell proliferation involved in lung development		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	positive regulation of transcription from RNA polymerase II promoter		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	principal sensory nucleus of trigeminal nerve development		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	salivary gland cavitation		Nfib
ENSMUSG00000008575	nuclear factor I/B [Source:MGI Symbol;Acc:MGI:103188]	transcriptional activator activity RNA polymerase II core promoter proximal region sequence-specific binding		Nfib
ENSMUSG00000086293	predicted gene 11269 [Source:MGI Symbol;Acc:MGI:3649855]			Gm11269
ENSMUSG00000084357	predicted gene 11268 [Source:MGI Symbol;Acc:MGI:3649856]			Gm11268
ENSMUSG00000028403	zinc finger, DHHC domain containing 21 [Source:MGI Symbol;Acc:MGI:1915518]	premature hair loss		Zdhhc21
